,,,,,,,,,,,,,,
,Off-Budget Deficit,,7,253,614,"1,028","1,081","1,112","1,156","1,226","1,291","1,355","2,983","9,123"
,,,,,,,,,,,,,,
Title V. Committee on Financial Services,,,,,,,,,,,,,,
,Estimated Outlays,,-16,-352,-800,-926,-948,-973,"-1,013","-1,090","-1,160","-1,200","-3,042","-8,478"
,Estimated Revenues,,0,-473,-724,-720,-752,"1,081",-410,-427,-443,-455,"-2,669","-3,323"
,Net Effect on the Deficit,,-16,121,-76,-206,-196,"-2,054",-603,-663,-717,-745,-373,"-5,155"
,,,,,,,,,,,,,,
Title VI. Committee on Homeland Security,,,,,,,,,,,,,,
,Estimated Outlays,,*,"2,488","9,218","14,008","13,995","13,623","11,145","7,984","4,556","2,130","39,709","79,147"
,Estimated Revenues,,0,0,0,0,0,0,0,0,0,0,0,0
,Net Effect on the Deficit,,*,"2,488","9,218","14,008","13,995","13,623","11,145","7,984","4,556","2,130","39,709","79,147"
,,,,,,,,,,,,,,
Title VII. Committee on the Judiciary,,,,,,,,,,,,,,
,Estimated Outlays,,*,"6,426","10,277","15,080","18,795","13,657","8,207","2,625",-530,"-1,122","50,578","73,415"
,Estimated Revenues,,0,"2,394","5,916","6,193","6,990","8,004","8,397","8,635","8,872","9,008","21,493","64,409"
,Net Effect on the Deficit,,*,"4,032","4,361","8,887","11,805","5,653",-190,"-6,010","-9,402","-10,130","29,085","9,006"
,,,,,,,,,,,,,,
Title VIII. Committee on Natural Resources,,,,,,,,,,,,,,
,Estimated Outlays,,-122,-321,-499,"-1,269","-1,300","-1,930","-2,129","-2,480","-3,227","-3,866","-3,511","-17,143"
,Estimated Revenues,,0,65,130,130,135,140,140,145,150,150,460,"1,185"
,Net Effect on the Deficit,,-122,-386,-629,"-1,399","-1,435","-2,070","-2,269","-2,625","-3,377","-4,016","-3,971","-18,328"
,,,,,,,,,,,,,,
Title IX. Committee on Oversight and Government Reform,,,,,,,,,,,,,,
,Estimated Outlays,,0,40,-6,-223,-597,-965,"-1,296","-1,545","-1,742","-1,899",-786,"-8,233"
,Estimated Revenues,,8,64,160,258,359,459,563,668,775,887,849,"4,201"
,Net Effect on the Deficit,,-8,-24,-166,-481,-956,"-1,424","-1,859","-2,213","-2,517","-2,786","-1,635","-12,434"
,On-Budget Deficit,,-8,-21,-169,-481,-956,"-1,424","-1,859","-2,213","-2,517","-2,786","-1,635","-12,434"
,Off-Budget Deficit,,0,-3,3,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Title X. Committee on Transportation and Infrastructure,,,,,,,,,,,,,,
,Estimated Outlays,,-612,536,"1,642","3,809","5,060","4,388","3,924","3,674","3,354","1,974","10,435","27,749"
,Estimated Revenues,,0,423,"1,742","3,405","5,230","7,064","8,815","10,660","12,556","14,414","10,800","64,309"
,Net Effect on the Deficit,,-612,113,-100,404,-170,"-2,676","-4,891","-6,986","-9,202","-12,440",-365,"-36,560"
,,,,,,,,,,,,,,
Title XI. Committee on Ways and Means,,,,,,,,,,,,,,
,Estimated Outlays,,593,"7,650","12,927","7,581","1,153","-6,785","-6,720","-7,764","-9,089","-10,152","29,907","-10,602"
,Estimated Revenues,,"-89,234","-483,642","-557,949","-551,520","-470,310","-298,373","-241,385","-294,641","-375,516","-402,413","-2,152,662","-3,764,990"
,Net Effect on the Deficit,,"89,827","491,292","570,876","559,101","471,463","291,588","234,665","286,877","366,427","392,261","2,182,569","3,754,388"
,On-Budget Deficit,,"89,827","491,109","570,448","558,409","470,578","290,616","233,629","285,781","365,267","391,030","2,180,377","3,746,702"
,Off-Budget Deficit,,0,183,428,692,885,972,"1,036","1,096","1,160","1,231","2,192","7,686"
,,,,,,,,,,,,,,
Interactions Among Titles,,,,,,,,,,,,,,
,Estimated Outlays,,0,"1,649","4,736","7,614","9,544","11,355","13,111","15,981","10,063","6,925","23,543","80,978"
,Estimated Revenues,,0,-75,"-4,968","-9,106","-12,208","-14,505","-16,998","-18,782","-10,253","-7,077","-26,357","-93,972"
,Net Effect on the Deficit,,0,"1,724","9,704","16,720","21,752","25,860","30,109","34,763","20,316","14,002","49,900","174,950"
,,,,,,,,,,,,,,
Total Changes,,,,,,,,,,,,,,
,Estimated Outlays,,"-196,832","3,060","-15,402","-68,936","-94,864","-134,748","-164,001","-182,959","-196,367","-202,560","-372,971","-1,253,605"
,Estimated Revenues,,"-89,252","-481,475","-551,648","-544,919","-461,916","-286,188","-228,853","-280,522","-359,739","-385,315","-2,129,217","-3,669,834"
,Net Effect on the Deficit,,"-107,580","484,535","536,246","475,983","367,052","151,440","64,852","97,563","163,372","182,755","1,756,246","2,416,229"
,On-Budget Deficit,,"-107,587","484,102","535,201","474,263","365,086","149,356","62,660","95,241","160,921","180,169","1,751,071","2,399,420"
,Off-Budget Deficit,,7,433,"1,045","1,720","1,966","2,084","2,192","2,322","2,451","2,586","5,175","16,809"
,,,,,,,,,,,,,,
Components may not sum to totals because of rounding.,,,,,,,,,,,,,,
"* = between zero and $500,000.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sources: Congressional Budget Office; staff of the Joint Committee on Taxation.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"In keeping with reconciliation instructions from the House Committee on the Budget, this estimate reflects CBO’s January 2025 baseline projections updated to reflect enacted legislation and administrative and judicial actions. It includes budgetary effects through fiscal year 2034.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
This estimate incorporates interactions among provisions within each title. (Budgetary effects of interactions among titles are shown on the “Interactions Among Titles” tab.),,,,,,,,,,,,,,
"Because of the magnitude of its estimated budgetary effects, H.R. 1 is considered major legislation as defined in House Rule XIII(8). That rule requires cost estimates, to the extent practicable, to account for the budgetary implications of certain bills’ macroeconomic effects. CBO has not yet completed an analysis of the macroeconomic effects of H.R. 1 or their additional budgetary effects.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
The revenues and outlays of the Social Security trust funds and the net cash flow of the Postal Service are classified as off-budget.,,,,,,,,,,,,,,
"The Congressional Budget Act of 1974, as amended, stipulates that revenue estimates provided by the staff of the Joint Committee on Taxation (JCT) will be the official estimates for all tax legislation considered by the Congress. As such, CBO incorporates those estimates into its cost estimates of the effects of legislation. The estimates for the revenue provisions of some sections of the legislation were provided by JCT.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"CBO estimates that enacting H.R. 1 would increase by 10.9 million the number of people without health insurance in 2034. That total includes an estimated 1.4 million people without verified citizenship, nationality, or satisfactory immigration status who would no longer be covered in state-only funded programs in 2034.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"CBO estimates that enacting H.R. 1 would lower gross benchmark premiums, on average, in marketplace plans established by the Affordable Care Act by an estimated 12.2 percent in 2034. (That is, the premiums for the plans used to determine premium tax credits, but before those credits are accounted for.)",,,,,,,,,,,,,,
